Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,1.2303647620009852,0.8022896909451747,0.523707082006712,0.6782518926359257
2,0.5292425577702758,0.34376661708721745,0.7853024696669821,0.85719201651755
3,0.19007918434115229,0.17906330693717842,0.9290938817657689,0.9287680660701996
4,0.10427036243081503,0.08174933016218328,0.9646329919972464,0.9693737095664143
5,0.03747317378516667,0.041627844457852316,0.9891575595903968,0.9848589125946318
6,0.02620335059575634,0.043125190398563724,0.9928577575079597,0.9852030282174811
7,0.04800849631083311,0.10965349241722744,0.9821013682127183,0.9552649690295939
8,0.14006866367820364,0.1966815641620657,0.9500043025557181,0.9170681348933242
9,0.06489151191531814,0.04298664394581875,0.9767661991222787,0.9883000688231246
10,0.01859740420739719,0.021508119195049812,0.9950950864813699,0.9955264969029594
11,0.013526965970503535,0.0292904372173515,0.9958695465106273,0.9934618031658637
12,0.016023245742921924,0.026865071337222338,0.994922984252646,0.9948382656572609
13,0.005030468980943884,0.017599888349650428,0.998795284398933,0.9951823812801102
14,0.002803225826238094,0.023974911733703166,0.9993115910851046,0.9931176875430144
15,0.10777422418802846,0.8431251247178068,0.9596420273642544,0.8152099105299381
16,0.14706418823094522,0.038171490370347116,0.9503485070131659,0.9900206469373709
17,0.023272766412096992,0.01804800163302059,0.9926856552792359,0.996214728148658
18,0.008028593452124099,0.0147653120495686,0.9983650288271233,0.9958706125258087
19,0.008476502587035322,0.017114710390560103,0.9969882109973324,0.9955264969029594
20,0.004373190579876741,0.021325884461415687,0.9987092332845711,0.9965588437715073
21,0.006774221007207826,0.019839362379251133,0.9975905687978659,0.9944941500344116
22,0.041735368963730125,0.1246414451583565,0.9855434127871956,0.9556090846524432
23,0.0434779314075438,0.06849040843707581,0.9827037260132518,0.9772883688919477
24,0.01670534034541221,0.014370898969610897,0.9937182686515791,0.9972470750172058
25,0.037142928757680486,0.1579796770001649,0.9869202306169865,0.9525120440467997
26,0.032863271037138396,0.029944904686519773,0.9870923328457104,0.9900206469373709
27,0.007940731784221678,0.01792935525584623,0.9969021598829705,0.9955264969029594
28,0.0049247233317466135,0.01565990564931481,0.9990534377420187,0.996214728148658
29,0.07548540331361557,0.06876965235806183,0.9740125634626968,0.9810736407432897
30,0.03215740163132368,0.02443518960665512,0.9873504861887962,0.9931176875430144
31,0.010882048262339175,0.01146109141636471,0.9967300576542466,0.9972470750172058
32,0.00309490562483336,0.011707228408000786,0.9990534377420187,0.996214728148658
33,0.009528628960082303,0.01734925300395564,0.9996557955425522,0.9948382656572609
34,0.041084197661793054,0.026931752588287772,0.9831339815850615,0.9917412250516173
35,0.006944942836356119,0.016294354716332497,0.9976766199122279,0.9955264969029594
36,0.008243996809332013,0.01917449470860007,0.9972463643404182,0.9941500344115622
37,0.003037362878955549,0.009845629768448647,0.9989673866276568,0.9986235375086029
38,0.0009924288428270042,0.012050872274332984,0.9998278977712761,0.9972470750172058
39,0.0011024382102722493,0.010611937025844651,0.9998278977712761,0.9986235375086029
40,0.0008809537016207157,0.009295230527701218,0.9996557955425522,0.9979353062629044
41,0.11191027912608771,0.11693544944512893,0.962481714138198,0.9607708189951824
42,0.04031436294982476,0.03051758114684112,0.9858876172446434,0.9910529938059188
43,0.008120856963484715,0.015721142133630704,0.9976766199122279,0.9969029593943565
44,0.010797801186656995,0.01136029776047268,0.994922984252646,0.9975911906400551
45,0.001481757519126564,0.013306082697674136,0.9998278977712761,0.9969029593943565
46,0.0011444002046438662,0.011112057462074457,0.9998278977712761,0.9975911906400551
47,0.005740161947110059,0.013205087008108232,0.9979347732553137,0.9972470750172058
48,0.007576011325909349,0.21364454027510935,0.9969882109973324,0.9456297315898142
49,0.03264765323283327,0.02007534926839411,0.988813355132949,0.9969029593943565
50,0.002947678263868451,0.014590311314620252,0.9988813355132949,0.996214728148658
